sr no,lat,lon
487,28.53292,77.05606
488,28.53292,77.05606
489,28.65043,77.22549
490,28.65043,77.22549
491,28.65043,77.22549
492,28.54108,77.27894
493,28.54108,77.27894
494,28.54108,77.27894
495,28.5288,77.1041
496,28.5288,77.1041
497,28.5288,77.1041
498,28.56877,77.27222
499,28.56877,77.27222
500,28.56877,77.27222
501,28.56711,77.28028
502,28.56711,77.28028
503,28.56711,77.28028
504,28.64333,77.17525
505,28.64333,77.17525
506,28.64333,77.17525
507,28.6465,77.16366
508,28.6465,77.16366
509,28.6465,77.16366
510,28.63687,77.18206
511,28.63687,77.18206
512,28.63687,77.18206
513,28.5437,77.2097
514,28.5437,77.2097
515,28.5437,77.2097
516,28.56485,77.06089
517,28.56485,77.06089
518,28.56485,77.06089
519,28.53521,77.27122
520,28.53521,77.27122
521,28.53521,77.27122
522,28.5174,77.1799
523,28.5174,77.1799
524,28.5174,77.1799
525,28.65039,77.15714
526,28.65039,77.15714
527,28.65039,77.15714
528,28.6494,77.15193
529,28.6494,77.15193
530,28.6494,77.15193
531,28.48964,77.13389
532,28.48964,77.13389
533,28.48964,77.13389
534,28.5139,77.1125
535,28.5139,77.1125
536,28.5139,77.1125
537,28.64128,77.24027
538,28.64128,77.24027
539,28.64128,77.24027
540,28.64904,77.21005
541,28.64904,77.21005
542,28.64904,77.21005
543,28.51367,77.2685
544,28.51367,77.2685
545,28.51367,77.2685
546,28.50827,77.22977
547,28.50827,77.22977
548,28.50827,77.22977
549,28.52306,77.26071
550,28.52306,77.26071
551,28.52306,77.26071
552,28.59514,77.13644
553,28.59514,77.13644
554,28.59514,77.13644
555,28.64106,77.22978
556,28.64106,77.22978
557,28.64106,77.22978
558,28.63131,77.22709
559,28.63131,77.22709
560,28.63131,77.22709
561,28.5572,77.25385
562,28.5572,77.25385
563,28.5572,77.25385
564,28.5267,77.2089
565,28.5267,77.2089
566,28.5267,77.2089
567,28.58022,77.0854
568,28.58022,77.0854
569,28.58022,77.0854
570,28.59869,77.2006
571,28.59869,77.2006
572,28.59869,77.2006
573,28.64072,77.14422
574,28.64072,77.14422
575,28.64072,77.14422
576,28.6341,77.1414
577,28.6341,77.1414
578,28.6341,77.1414
579,28.5419,77.2951
580,28.5419,77.2951
581,28.5419,77.2951
582,28.58368,77.08214
583,28.58368,77.08214
584,28.58368,77.08214
585,28.5795,77.077
586,28.5795,77.077
587,28.5795,77.077
588,28.58364,77.09017
589,28.58364,77.09017
590,28.58364,77.09017
591,28.58786,77.23956
592,28.58786,77.23956
593,28.58786,77.23956
594,28.64467,77.24111
595,28.64467,77.24111
596,28.64467,77.24111
597,28.64694,77.20278
598,28.64694,77.20278
